,collisions,step,episode_steps,reward,wait_average,accumulated_wait,throughput,stops
0,3.0,37,37,-149243.0,85.0872291904219,149243.0,1754,0.7805017103762828
1,6.0,81,44,-61022.0,34.86971428571429,61022.0,1750,0.7257142857142858
2,5.0,127,46,-190063.5,111.01839953271028,190063.5,1712,0.7973130841121495
3,8.0,196,69,-225668.5,124.81664823008849,225668.5,1808,0.8667035398230089
4,20.0,265,69,-302432.0,170.2882882882883,302432.0,1776,0.8907657657657657
5,13.0,327,62,-199925.5,110.21251378169791,199925.5,1814,0.8004410143329658
6,3.0,375,48,-65924.5,37.2454802259887,65924.5,1770,0.7451977401129943
7,9.0,440,65,-287345.5,162.52573529411765,287345.5,1768,0.875
8,4.0,480,40,-83946.5,49.120245757753075,83946.5,1709,0.7952018724400234
9,8.0,529,49,-54307.5,30.339385474860336,54307.5,1790,0.7027932960893855
10,19.0,602,73,-300588.0,173.34948096885813,300588.0,1734,0.850634371395617
11,8.0,640,38,-80505.0,44.30654925701706,80505.0,1817,0.747936158503027
12,10.0,685,45,-59547.0,34.32103746397694,59547.0,1735,0.7602305475504323
13,5.0,736,51,-62450.0,34.810479375696765,62450.0,1794,0.7597547380156076
14,5.0,788,52,-63600.5,36.36392224128073,63600.5,1749,0.7267009719839909
15,11.0,834,46,-153802.5,82.82310177705978,153802.5,1857,0.8002154011847065
16,3.0,871,37,-58933.0,33.52275312855517,58933.0,1758,0.6939704209328783
17,10.0,910,39,-109225.5,63.39262913522925,109225.5,1723,0.7394080092861288
18,5.0,954,44,-62181.0,37.36838942307692,62181.0,1664,0.7277644230769231
19,15.0,1026,72,-422009.5,235.36503067484662,422009.5,1793,0.8310094813162298
20,5.0,1074,48,-220380.5,122.09445983379501,220380.5,1805,0.7650969529085873
21,25.0,1162,88,-433467.5,245.59065155807366,433467.5,1765,0.8124645892351274
22,5.0,1206,44,-114724.5,66.23816397228637,114724.5,1732,0.7546189376443418
23,23.0,1272,66,-170711.0,97.05002842524162,170711.0,1759,0.8590108015918135
24,5.0,1331,59,-171823.5,98.5226490825688,171823.5,1744,0.7987385321100917
25,5.0,1376,45,-115022.0,65.31629755820556,115022.0,1761,0.8012492901760363
26,3.0,1425,49,-109364.0,60.35540838852097,109364.0,1812,0.739514348785872
27,15.0,1488,63,-193549.0,105.36145890038105,193549.0,1837,0.8312465977136636
28,5.0,1526,38,-67090.0,38.91531322505801,67090.0,1724,0.7447795823665894
29,6.0,1571,45,-64041.5,36.595142857142854,64041.5,1750,0.692
30,5.0,1631,60,-207917.5,118.33665338645419,207917.5,1757,0.8981217985202049
31,8.0,1680,49,-89665.5,48.678338762214985,89665.5,1842,0.7633007600434311
32,9.0,1732,52,-125704.5,69.14438943894389,125704.5,1818,0.7585258525852585
33,9.0,1775,43,-75581.0,41.803650442477874,75581.0,1808,0.7323008849557522
34,25.0,1851,76,-162404.0,87.8334234721471,162404.0,1849,0.7739318550567874
35,7.0,1903,52,-75853.5,41.49535010940919,75853.5,1828,0.7614879649890591
36,4.0,1938,35,-73566.5,40.53250688705234,73566.5,1815,0.7322314049586777
37,18.0,2003,65,-582074.0,329.04126625211984,582074.0,1769,0.896551724137931
38,6.0,2071,68,-272193.0,148.98357963875205,272193.0,1827,0.7438423645320197
39,4.0,2124,53,-89954.0,49.2089715536105,89954.0,1828,0.7850109409190372
40,8.0,2166,42,-55184.5,32.23393691588785,55184.5,1712,0.6991822429906542
41,10.0,2227,61,-224036.5,127.5108138873079,224036.5,1757,0.7734775184974388
42,14.0,2291,64,-283826.0,156.983407079646,283826.0,1808,0.808075221238938
43,14.0,2366,75,-260213.5,148.35433295324972,260213.5,1754,0.8933865450399088
44,4.0,2413,47,-87010.0,49.01971830985916,87010.0,1775,0.744225352112676
45,27.0,2501,88,-707343.5,384.21700162954915,707343.5,1841,0.9467680608365019
46,12.0,2564,63,-232767.0,130.47477578475338,232767.0,1784,0.7982062780269058
47,25.0,2664,100,-357948.0,196.67472527472526,357948.0,1820,0.8357142857142857
48,13.0,2727,63,-303974.5,178.7034097589653,303974.5,1701,0.8459729570840682
49,20.0,2816,89,-478027.5,273.47110983981696,478027.5,1748,0.8369565217391305
50,9.0,2861,45,-53123.0,30.373356203544883,53123.0,1749,0.7667238421955404
51,17.0,2959,98,-529963.0,301.4579067121729,529963.0,1758,0.8646188850967008
52,6.0,3038,79,-461462.0,254.9513812154696,461462.0,1810,0.9314917127071823
53,21.0,3121,83,-230782.5,126.80357142857143,230782.5,1820,0.7824175824175824
54,5.0,3158,37,-68524.5,39.2016590389016,68524.5,1748,0.7648741418764302
55,9.0,3218,60,-353622.5,198.55277933745086,353622.5,1781,0.9062324536777091
56,9.0,3270,52,-215614.0,124.41661858049625,215614.0,1733,0.778995960761685
57,19.0,3346,76,-312025.0,168.57104267963263,312025.0,1851,0.8762830902215019
58,22.0,3452,106,-376231.5,203.91951219512194,376231.5,1845,0.9013550135501355
59,15.0,3518,66,-58733.5,32.57542983915696,58733.5,1803,0.7609539656128674
60,21.0,3630,112,-485642.5,277.03508271534514,485642.5,1753,0.9355390758699372
61,8.0,3694,64,-140730.0,78.09655937846837,140730.0,1802,0.767480577136515
62,9.0,3754,60,-126753.0,73.69360465116279,126753.0,1720,0.7703488372093024
