,collisions,step,episode,reward
0,9.0,46,1,-64260.0
1,3.0,128,2,-86862.0
2,8.0,181,3,-50122.0
3,11.0,236,4,-77701.5
4,5.0,276,5,-41436.5
5,7.0,312,6,-49060.5
6,6.0,353,7,-68132.0
7,6.0,389,8,-62493.5
8,5.0,423,9,-65114.0
9,9.0,468,10,-42233.0
10,4.0,502,11,-55996.5
11,5.0,554,12,-55512.0
12,5.0,605,13,-70140.0
13,5.0,641,14,-42688.5
14,4.0,671,15,-64941.5
15,4.0,702,16,-58982.0
16,4.0,737,17,-58209.5
17,7.0,774,18,-63722.5
18,9.0,823,19,-53608.5
19,5.0,867,20,-61942.0
20,5.0,910,21,-62393.5
21,6.0,943,22,-53395.0
22,2.0,990,23,-59731.5
23,7.0,1028,24,-56593.0
24,11.0,1084,25,-77917.0
25,6.0,1124,26,-82348.0
26,4.0,1172,27,-53249.0
27,5.0,1228,28,-77015.5
28,11.0,1298,29,-68876.5
29,3.0,1340,30,-48648.5
30,9.0,1392,31,-45610.0
31,10.0,1453,32,-90137.0
32,6.0,1493,33,-40510.5
33,6.0,1526,34,-56682.0
34,7.0,1569,35,-46561.0
35,7.0,1614,36,-49240.5
36,2.0,1661,37,-76584.5
37,10.0,1726,38,-62445.5
38,7.0,1779,39,-73380.5
39,15.0,1829,40,-89391.0
40,4.0,1869,41,-49188.0
41,5.0,1915,42,-43980.0
42,6.0,1957,43,-100669.5
43,3.0,2018,44,-61670.0
44,6.0,2064,45,-51144.0
45,3.0,2099,46,-67767.5
46,6.0,2157,47,-64440.5
47,6.0,2193,48,-60634.0
48,4.0,2239,49,-56330.0
49,8.0,2277,50,-46724.0
50,4.0,2317,51,-43121.0
51,7.0,2375,52,-72421.5
52,6.0,2424,53,-51700.5
53,7.0,2467,54,-36644.5
54,4.0,2510,55,-48298.0
55,4.0,2548,56,-46742.5
56,4.0,2603,57,-53535.5
57,1.0,2657,58,-71379.5
58,10.0,2717,59,-45007.0
59,4.0,2791,60,-59535.0
60,6.0,2839,61,-41829.0
61,2.0,2888,62,-40453.0
62,12.0,2942,63,-48118.0
63,5.0,2985,64,-60309.0
64,2.0,3043,65,-49462.0
65,10.0,3099,66,-47482.0
66,7.0,3150,67,-73823.5
67,6.0,3198,68,-34306.5
68,6.0,3245,69,-37314.0
69,8.0,3297,70,-45245.5
70,6.0,3346,71,-36676.5
71,7.0,3393,72,-53621.0
72,4.0,3442,73,-44238.5
73,6.0,3474,74,-60423.0
74,6.0,3528,75,-57691.5
75,8.0,3590,76,-44754.5
76,3.0,3633,77,-38058.5
77,10.0,3704,78,-58788.5
78,8.0,3756,79,-43757.5
79,3.0,3804,80,-36128.5
80,4.0,3835,81,-53570.5
81,4.0,3874,82,-37931.5
82,6.0,3925,83,-40156.5
83,3.0,3958,84,-62683.0
84,12.0,4033,85,-36900.5
85,2.0,4080,86,-36412.0
86,7.0,4139,87,-62661.5
87,7.0,4200,88,-53947.0
88,5.0,4257,89,-33768.0
89,6.0,4310,90,-54733.0
90,9.0,4355,91,-43515.0
91,4.0,4404,92,-34515.0
92,6.0,4463,93,-49738.5
93,8.0,4517,94,-33001.5
94,5.0,4570,95,-38841.5
95,3.0,4616,96,-75900.0
96,11.0,4680,97,-45398.5
97,8.0,4748,98,-62529.0
98,7.0,4799,99,-30660.5
99,15.0,4873,100,-44785.0
100,4.0,4910,101,-44224.5
101,2.0,4961,102,-39015.0
102,8.0,5015,103,-61160.0
103,7.0,5055,104,-40847.0
104,6.0,5108,105,-36488.5
105,4.0,5158,106,-38941.5
106,5.0,5214,107,-62837.5
107,3.0,5259,108,-33691.5
108,7.0,5309,109,-49295.0
109,4.0,5372,110,-56810.0
110,3.0,5416,111,-59624.0
111,6.0,5465,112,-35945.5
112,7.0,5524,113,-51665.5
113,8.0,5580,114,-54903.0
114,12.0,5634,115,-34840.5
115,3.0,5680,116,-43119.5
116,7.0,5723,117,-53735.5
117,6.0,5761,118,-50147.5
118,4.0,5813,119,-31312.5
119,5.0,5862,120,-43267.5
120,7.0,5920,121,-35610.0
121,12.0,5976,122,-51540.0
122,6.0,6030,123,-41332.0
123,7.0,6105,124,-40910.0
124,12.0,6176,125,-51796.5
125,10.0,6248,126,-46205.0
126,5.0,6288,127,-51430.5
127,4.0,6340,128,-40694.5
128,4.0,6391,129,-51032.0
129,5.0,6458,130,-48884.0
130,5.0,6514,131,-42856.0
131,8.0,6583,132,-39966.0
132,5.0,6640,133,-40990.5
133,6.0,6694,134,-28130.0
134,10.0,6761,135,-40208.5
135,9.0,6840,136,-47980.0
136,5.0,6903,137,-41220.0
137,5.0,6943,138,-35613.0
138,6.0,7004,139,-50570.0
139,6.0,7074,140,-61816.0
140,6.0,7137,141,-35839.0
141,11.0,7198,142,-41765.0
142,10.0,7253,143,-48959.5
143,15.0,7339,144,-40656.5
144,11.0,7416,145,-40326.0
145,8.0,7472,146,-44320.0
146,4.0,7528,147,-31142.5
147,6.0,7607,148,-61591.5
148,11.0,7682,149,-42431.0
149,6.0,7744,150,-43135.5
150,6.0,7817,151,-33366.0
151,9.0,7876,152,-46903.0
152,9.0,7949,153,-32303.0
153,7.0,7996,154,-39711.5
154,6.0,8054,155,-36521.5
155,8.0,8103,156,-39984.5
156,6.0,8210,157,-64377.0
157,18.0,8297,158,-73833.5
158,11.0,8363,159,-34831.0
159,15.0,8439,160,-33850.0
160,3.0,8480,161,-48047.5
