,collisions,step,episode,reward
0,3.0,33,1,-61827.5
1,9.0,97,2,-75570.5
2,8.0,157,3,-65678.5
3,4.0,194,4,-48864.5
4,5.0,259,5,-71566.0
5,8.0,306,6,-82122.0
6,3.0,338,7,-72403.5
7,9.0,388,8,-61663.5
8,7.0,431,9,-56917.5
9,5.0,463,10,-57882.5
10,2.0,504,11,-45361.0
11,3.0,553,12,-84243.0
12,9.0,611,13,-51253.0
13,5.0,648,14,-52475.0
14,4.0,683,15,-60037.5
15,3.0,722,16,-58727.5
16,4.0,762,17,-68448.0
17,7.0,796,18,-67804.0
18,9.0,841,19,-78731.0
19,3.0,874,20,-65986.0
20,7.0,918,21,-61899.0
21,5.0,956,22,-49696.5
22,5.0,994,23,-47882.5
23,7.0,1031,24,-80030.5
24,4.0,1080,25,-82292.0
25,4.0,1113,26,-50373.5
26,3.0,1157,27,-54418.5
27,5.0,1205,28,-74312.5
28,10.0,1259,29,-79839.0
29,10.0,1302,30,-92051.5
30,2.0,1339,31,-41200.5
31,10.0,1398,32,-67764.0
32,6.0,1430,33,-66811.0
33,5.0,1475,34,-66323.0
34,7.0,1514,35,-49935.5
35,4.0,1556,36,-41957.5
36,8.0,1593,37,-57236.0
37,5.0,1636,38,-69189.0
38,6.0,1692,39,-69831.5
39,1.0,1750,40,-82595.5
40,10.0,1809,41,-60886.5
41,4.0,1840,42,-55634.0
42,3.0,1879,43,-41716.0
43,7.0,1915,44,-57186.5
44,9.0,1966,45,-71833.0
45,4.0,2015,46,-64577.5
46,5.0,2068,47,-84945.0
47,2.0,2108,48,-83980.0
48,5.0,2138,49,-64257.5
49,4.0,2172,50,-52242.0
50,5.0,2209,51,-48277.0
51,14.0,2269,52,-73418.5
52,4.0,2310,53,-44955.0
53,2.0,2367,54,-66678.5
54,5.0,2416,55,-46287.0
55,5.0,2451,56,-48982.5
56,5.0,2487,57,-57907.0
57,6.0,2525,58,-47500.0
58,12.0,2592,59,-79363.0
59,2.0,2626,60,-60552.0
60,9.0,2689,61,-43126.0
61,6.0,2746,62,-56464.5
62,7.0,2805,63,-52876.0
63,7.0,2843,64,-45654.0
64,3.0,2884,65,-89631.5
65,5.0,2925,66,-45347.5
66,5.0,2972,67,-33407.0
67,4.0,3027,68,-61753.5
68,9.0,3085,69,-46356.0
69,7.0,3143,70,-30687.0
70,9.0,3186,71,-37794.5
71,5.0,3225,72,-61484.5
72,6.0,3278,73,-48489.0
73,11.0,3340,74,-69881.5
74,4.0,3375,75,-44355.0
75,6.0,3439,76,-43974.0
76,3.0,3483,77,-48556.5
77,9.0,3540,78,-43343.0
78,1.0,3592,79,-52906.5
79,4.0,3636,80,-37777.0
80,4.0,3676,81,-50196.0
81,5.0,3729,82,-64894.5
82,4.0,3779,83,-32415.5
83,12.0,3830,84,-73371.5
84,6.0,3872,85,-41624.5
85,7.0,3915,86,-34975.5
86,8.0,3961,87,-71615.5
87,5.0,4028,88,-49670.5
88,10.0,4079,89,-35054.5
89,4.0,4136,90,-46052.5
90,13.0,4199,91,-60706.5
91,13.0,4256,92,-49340.5
92,11.0,4317,93,-65703.5
93,4.0,4358,94,-46331.5
94,5.0,4418,95,-57883.5
95,5.0,4472,96,-44535.0
96,2.0,4506,97,-48463.5
97,7.0,4553,98,-56184.5
98,3.0,4608,99,-48904.5
99,5.0,4659,100,-56103.0
100,4.0,4693,101,-54605.0
101,4.0,4737,102,-40499.5
102,2.0,4776,103,-43271.0
103,2.0,4847,104,-74196.0
104,9.0,4921,105,-58615.5
105,5.0,4973,106,-58828.5
106,4.0,5021,107,-54023.0
107,7.0,5072,108,-45466.0
108,9.0,5123,109,-56600.5
109,7.0,5160,110,-64739.0
110,4.0,5196,111,-48570.5
111,2.0,5242,112,-52118.0
112,8.0,5305,113,-55078.0
113,10.0,5382,114,-48901.5
114,8.0,5433,115,-31133.0
115,7.0,5480,116,-84663.5
116,15.0,5552,117,-52415.0
117,9.0,5615,118,-68084.0
118,8.0,5688,119,-49890.0
119,7.0,5731,120,-38914.5
120,5.0,5786,121,-57231.0
121,8.0,5847,122,-59202.5
122,11.0,5900,123,-51597.5
123,9.0,5938,124,-44001.5
124,8.0,6007,125,-55096.5
125,5.0,6065,126,-53812.0
126,5.0,6133,127,-36990.0
127,2.0,6183,128,-41431.5
128,6.0,6237,129,-30977.0
129,8.0,6288,130,-49989.0
130,4.0,6349,131,-29974.0
131,11.0,6416,132,-37537.0
132,5.0,6456,133,-44560.5
133,5.0,6510,134,-67381.5
134,10.0,6583,135,-49048.5
135,5.0,6657,136,-44219.5
136,9.0,6732,137,-43483.0
137,12.0,6806,138,-60752.5
138,3.0,6855,139,-57212.5
139,7.0,6914,140,-43701.0
140,16.0,6993,141,-45892.0
141,7.0,7042,142,-35103.0
142,10.0,7105,143,-46882.5
143,9.0,7171,144,-67361.5
144,7.0,7229,145,-30301.5
145,7.0,7286,146,-38370.0
146,7.0,7348,147,-48839.0
147,14.0,7431,148,-62354.0
148,7.0,7485,149,-60905.0
149,12.0,7554,150,-38856.0
150,6.0,7614,151,-45243.0
151,5.0,7697,152,-59277.0
152,9.0,7776,153,-43293.5
153,14.0,7853,154,-46665.5
154,11.0,7924,155,-53699.0
155,6.0,7997,156,-31373.0
156,8.0,8060,157,-71546.5
157,4.0,8118,158,-34953.0
158,6.0,8190,159,-31406.5
159,10.0,8255,160,-30771.5
160,9.0,8326,161,-48001.0
161,11.0,8395,162,-32745.0
162,10.0,8467,163,-41854.0
163,7.0,8518,164,-49470.5
164,4.0,8587,165,-42246.0
165,10.0,8656,166,-45720.0
166,7.0,8723,167,-51491.5
167,3.0,8791,168,-53880.5
168,4.0,8856,169,-40077.5
169,8.0,8924,170,-53384.5
170,4.0,8978,171,-37953.0
171,4.0,9029,172,-43594.5
172,7.0,9103,173,-30807.0
173,8.0,9184,174,-54512.5
174,3.0,9225,175,-51839.0
175,5.0,9296,176,-29522.5
176,7.0,9368,177,-48954.0
177,7.0,9439,178,-32442.5
178,10.0,9499,179,-35802.0
179,7.0,9563,180,-44740.5
180,11.0,9628,181,-46304.5
181,6.0,9686,182,-34705.0
182,9.0,9741,183,-40173.5
183,8.0,9799,184,-36648.0
184,11.0,9864,185,-39918.5
185,5.0,9929,186,-30336.5
186,7.0,9985,187,-32376.5
187,7.0,10043,188,-36867.0
188,7.0,10101,189,-34561.5
189,10.0,10166,190,-56122.5
190,9.0,10235,191,-38934.5
191,1.0,10291,192,-31538.5
192,8.0,10363,193,-45104.0
193,6.0,10406,194,-41399.0
194,9.0,10472,195,-32789.5
195,7.0,10525,196,-42119.5
196,4.0,10585,197,-34332.5
197,8.0,10645,198,-33864.0
198,3.0,10697,199,-33823.0
199,4.0,10773,200,-54326.5
200,5.0,10840,201,-45491.0
201,6.0,10893,202,-39439.0
202,8.0,10963,203,-45365.5
203,8.0,11023,204,-32606.0
204,8.0,11069,205,-37083.5
205,8.0,11139,206,-32108.5
206,2.0,11186,207,-37559.5
207,7.0,11239,208,-37831.0
208,8.0,11307,209,-32088.0
209,8.0,11359,210,-32523.0
210,4.0,11404,211,-37341.0
211,5.0,11460,212,-39061.0
212,11.0,11538,213,-60778.0
213,9.0,11593,214,-33383.5
214,4.0,11661,215,-35513.5
215,3.0,11698,216,-42455.0
216,9.0,11750,217,-42332.0
217,6.0,11796,218,-36490.0
218,8.0,11863,219,-30613.5
219,2.0,11908,220,-35790.0
220,7.0,11966,221,-32063.0
221,5.0,12025,222,-29729.5
222,8.0,12075,223,-31435.0
223,4.0,12132,224,-30483.0
224,7.0,12195,225,-29325.0
225,2.0,12240,226,-35291.0
226,6.0,12290,227,-33517.0
227,2.0,12332,228,-41860.0
228,7.0,12392,229,-34216.0
229,11.0,12466,230,-27159.5
230,3.0,12517,231,-44570.5
231,6.0,12585,232,-32009.5
232,7.0,12641,233,-29501.5
233,7.0,12692,234,-35661.5
234,14.0,12751,235,-30836.0
235,4.0,12802,236,-30485.0
236,6.0,12847,237,-37409.5
237,13.0,12923,238,-27067.5
238,8.0,12970,239,-34517.5
239,8.0,13035,240,-30629.0
240,6.0,13088,241,-35375.0
241,5.0,13140,242,-30511.5
242,5.0,13179,243,-40087.0
243,3.0,13236,244,-29376.0
244,11.0,13292,245,-31003.0
245,4.0,13336,246,-33431.0
246,9.0,13398,247,-28514.0
247,6.0,13454,248,-29270.0
248,8.0,13512,249,-33947.0
249,5.0,13555,250,-37941.0
250,9.0,13630,251,-25934.5
251,6.0,13681,252,-42152.5
252,5.0,13724,253,-32429.0
253,5.0,13786,254,-26799.0
254,10.0,13857,255,-27468.5
255,5.0,13900,256,-33958.0
256,4.0,13942,257,-37910.0
257,8.0,14016,258,-28000.0
258,10.0,14090,259,-26144.0
259,7.0,14156,260,-34101.5
260,3.0,14205,261,-36946.0
261,4.0,14271,262,-30163.5
262,7.0,14334,263,-28179.5
263,6.0,14391,264,-31254.0
264,7.0,14446,265,-29575.0
265,11.0,14486,266,-38420.5
266,6.0,14536,267,-30453.0
267,5.0,14589,268,-30389.0
268,9.0,14655,269,-31619.5
269,4.0,14709,270,-35509.0
270,10.0,14777,271,-28790.0
271,6.0,14825,272,-33797.0
272,9.0,14876,273,-31962.0
273,7.0,14933,274,-35180.0
274,6.0,14986,275,-31605.5
275,3.0,15042,276,-34578.5
276,10.0,15106,277,-30646.5
277,3.0,15161,278,-28428.5
278,5.0,15229,279,-29583.0
279,6.0,15276,280,-36879.5
280,6.0,15324,281,-35930.0
281,8.0,15383,282,-32087.5
282,5.0,15427,283,-34894.0
283,2.0,15473,284,-37098.0
284,6.0,15512,285,-37747.5
285,4.0,15557,286,-36763.5
286,3.0,15600,287,-41143.0
287,17.0,15674,288,-27689.0
288,8.0,15723,289,-31826.0
289,5.0,15793,290,-62587.0
290,5.0,15841,291,-38767.5
291,6.0,15881,292,-45472.0
292,9.0,15938,293,-32873.0
293,3.0,16002,294,-32180.5
294,13.0,16062,295,-34881.0
295,4.0,16097,296,-48829.0
296,4.0,16166,297,-30954.5
297,5.0,16205,298,-41743.5
298,4.0,16270,299,-33618.0
299,7.0,16327,300,-32176.0
300,8.0,16382,301,-33318.5
301,7.0,16432,302,-33655.0
302,7.0,16498,303,-30186.5
303,3.0,16546,304,-39299.5
304,8.0,16602,305,-32392.5
305,6.0,16672,306,-24934.0
306,5.0,16732,307,-31406.0
307,6.0,16794,308,-28624.0
308,5.0,16846,309,-29835.5
309,8.0,16910,310,-27010.0
310,8.0,16959,311,-36004.0
311,3.0,17002,312,-40746.0
312,10.0,17076,313,-29670.0
313,4.0,17130,314,-37992.5
314,9.0,17181,315,-33272.5
315,8.0,17229,316,-36998.0
316,5.0,17289,317,-32980.5
317,8.0,17341,318,-31745.5
318,4.0,17413,319,-30472.5
319,12.0,17483,320,-41401.5
320,5.0,17546,321,-31308.0
321,5.0,17591,322,-35856.5
322,9.0,17657,323,-29844.0
323,3.0,17695,324,-47116.5
324,7.0,17758,325,-35236.5
325,5.0,17823,326,-34883.5
326,6.0,17898,327,-27208.0
327,8.0,17956,328,-32088.0
328,7.0,18009,329,-51431.5
329,4.0,18058,330,-32760.0
330,6.0,18105,331,-38621.0
331,4.0,18161,332,-31542.0
332,5.0,18233,333,-27654.5
333,6.0,18296,334,-29195.0
334,6.0,18345,335,-40120.5
335,3.0,18407,336,-28360.5
336,8.0,18472,337,-30090.0
337,4.0,18521,338,-31455.0
338,6.0,18571,339,-35343.5
339,7.0,18642,340,-33461.5
340,5.0,18694,341,-36694.0
341,4.0,18736,342,-39140.0
342,15.0,18815,343,-31906.5
343,4.0,18857,344,-38213.0
344,5.0,18928,345,-34005.5
345,4.0,18998,346,-36603.0
346,9.0,19068,347,-28129.5
347,7.0,19115,348,-35482.0
348,6.0,19172,349,-40612.0
349,5.0,19221,350,-34602.0
350,3.0,19282,351,-34609.5
351,6.0,19338,352,-45206.5
352,6.0,19397,353,-31308.5
353,2.0,19439,354,-40980.5
354,4.0,19493,355,-33756.0
355,8.0,19556,356,-28668.5
356,6.0,19618,357,-29326.5
357,7.0,19674,358,-34925.0
358,5.0,19735,359,-25551.5
359,7.0,19784,360,-33604.0
360,7.0,19857,361,-27569.5
361,6.0,19910,362,-36905.0
362,3.0,19972,363,-30798.0
363,2.0,20014,364,-36167.0
364,8.0,20069,365,-28942.0
365,11.0,20144,366,-23847.0
366,9.0,20208,367,-27531.0
367,6.0,20277,368,-36999.0
368,3.0,20327,369,-41944.0
369,2.0,20381,370,-36684.0
370,8.0,20448,371,-32733.0
371,6.0,20516,372,-31489.5
372,4.0,20573,373,-33304.0
373,10.0,20634,374,-30500.5
374,6.0,20678,375,-35493.0
375,3.0,20738,376,-28828.5
376,7.0,20801,377,-36871.5
377,2.0,20863,378,-32776.0
378,10.0,20925,379,-36231.5
379,4.0,20986,380,-28097.0
380,12.0,21043,381,-31689.5
381,3.0,21088,382,-34335.5
382,11.0,21156,383,-39928.5
383,5.0,21208,384,-31782.5
384,7.0,21267,385,-36819.0
385,6.0,21311,386,-34640.5
386,8.0,21372,387,-26610.0
387,7.0,21436,388,-35005.5
388,3.0,21502,389,-29921.5
389,9.0,21566,390,-35197.5
390,5.0,21629,391,-27868.0
391,10.0,21698,392,-30187.5
