,collisions,ttc,step,episode,reward
0,3.0,-97686.59999999996,66,1,-29949.0
1,9.0,-139405.64000000022,149,2,-63745.5
2,4.0,-85333.31999999996,204,3,-51483.5
3,3.0,-102567.05000000008,266,4,-78279.5
4,3.0,-89771.67999999982,329,5,-42880.0
5,4.0,-74605.43999999993,384,6,-40628.5
6,3.0,-81802.01000000007,444,7,-79908.5
7,3.0,-149617.14000000004,532,8,-55184.0
8,7.0,-97632.87000000004,594,9,-75336.0
9,4.0,-120235.8200000002,662,10,-75832.5
10,2.0,-66835.66000000003,711,11,-42763.0
11,7.0,-121914.78999999986,786,12,-40816.5
12,3.0,-85712.62000000007,844,13,-78184.5
13,12.0,-140997.78999999966,916,14,-118867.0
14,4.0,-108911.61000000012,986,15,-43497.0
15,3.0,-70181.73,1039,16,-96613.0
16,12.0,-159901.85000000012,1129,17,-62247.0
17,10.0,-132089.0699999999,1206,18,-90474.0
18,6.0,-89738.05999999998,1266,19,-57909.0
19,6.0,-72474.09000000001,1317,20,-47657.0
20,7.0,-112961.42000000003,1389,21,-47466.0
21,2.0,-180843.60000000006,1482,22,-76154.5
22,8.0,-146424.56,1562,23,-92466.5
23,8.0,-89651.67999999989,1623,24,-73469.0
24,7.0,-105235.71,1693,25,-62404.0
25,7.0,-89485.57999999991,1753,26,-34965.5
26,1.0,-102960.93999999996,1818,27,-45091.0
27,1.0,-113471.13000000005,1888,28,-63472.0
28,7.0,-144810.22999999995,1969,29,-82866.5
29,3.0,-108045.62000000013,2038,30,-66527.0
30,7.0,-101905.57000000005,2101,31,-77954.5
31,1.0,-87845.9899999999,2163,32,-59938.5
32,10.0,-189981.03000000006,2254,33,-103291.5
33,5.0,-79771.63999999998,2307,34,-68213.5
34,3.0,-99935.85000000003,2375,35,-51356.0
35,7.0,-79624.91999999995,2431,36,-63604.0
36,5.0,-131854.53000000006,2503,37,-57814.0
37,8.0,-198731.3,2604,38,-70942.5
38,7.0,-174283.6600000003,2694,39,-93598.5
39,10.0,-121120.01000000001,2774,40,-70383.0
40,7.0,-116360.10999999991,2846,41,-61449.5
41,6.0,-96900.00999999992,2914,42,-35090.0
42,10.0,-183471.02999999994,3018,43,-65310.0
